APPOINTMENT_ID,BUSINESS_ID,CUSTOMER_ID,START_TIME,END_TIME, PRICE ,DATE
1,73,50,3:15 PM,4:15 PM, $44.34 ,7/31/2024
2,93,74,4:45 PM,5:45 PM, $50.56 ,7/18/2024
3,31,76,10:45 AM,11:45 AM, $39.54 ,7/14/2024
4,39,4,2:30 PM,3:30 PM, $42.23 ,7/12/2024
5,62,77,2:15 PM,3:15 PM, $77.82 ,8/3/2024
6,14,35,11:45 AM,12:45 PM, $84.09 ,7/27/2024
7,78,16,3:15 PM,4:15 PM, $82.67 ,7/19/2024
8,32,98,2:00 PM,3:00 PM, $37.06 ,7/11/2024
9,22,37,10:00 AM,11:00 AM, $44.95 ,7/20/2024
10,48,36,9:15 AM,10:15 AM, $69.87 ,7/15/2024
11,16,34,2:00 PM,3:00 PM, $61.11 ,8/4/2024
12,25,14,3:15 PM,4:15 PM, $89.06 ,7/8/2024
13,45,13,12:30 PM,1:30 PM, $36.48 ,7/16/2024
14,4,14,3:45 PM,4:45 PM, $57.70 ,7/15/2024
15,47,22,1:45 PM,2:45 PM, $76.14 ,7/12/2024
16,73,70,3:30 PM,4:30 PM, $84.09 ,7/28/2024
17,46,71,3:15 PM,4:15 PM, $39.78 ,7/17/2024
18,42,68,11:00 AM,12:00 PM, $79.29 ,8/1/2024
19,85,73,12:45 PM,1:45 PM, $48.12 ,7/27/2024
20,5,33,12:00 PM,1:00 PM, $79.85 ,7/22/2024
21,45,67,4:15 PM,5:15 PM, $24.62 ,8/3/2024
22,40,26,11:30 AM,12:30 PM, $44.31 ,7/10/2024
23,28,30,2:00 PM,3:00 PM, $22.25 ,7/25/2024
24,98,37,10:45 AM,11:45 AM, $84.40 ,7/24/2024
25,39,4,10:00 AM,11:00 AM, $39.80 ,7/23/2024
26,82,59,11:00 AM,12:00 PM, $86.34 ,7/6/2024
27,14,81,10:15 AM,11:15 AM, $33.19 ,7/26/2024
28,93,54,2:15 PM,3:15 PM, $94.16 ,7/15/2024
29,20,84,4:45 PM,5:45 PM, $71.60 ,7/25/2024
30,11,50,10:45 AM,11:45 AM, $29.79 ,7/16/2024
31,4,5,5:45 PM,6:45 PM, $24.55 ,7/9/2024
32,32,55,12:15 PM,1:15 PM, $32.84 ,7/27/2024
33,11,12,9:30 AM,10:30 AM, $85.79 ,8/3/2024
34,98,77,5:15 PM,6:15 PM, $83.67 ,7/9/2024
35,52,12,1:00 PM,2:00 PM, $75.07 ,7/22/2024
36,46,46,10:00 AM,11:00 AM, $39.00 ,7/13/2024
37,27,32,10:30 AM,11:30 AM, $49.82 ,7/28/2024
38,62,16,11:00 AM,12:00 PM, $27.24 ,7/31/2024
39,19,32,1:00 PM,2:00 PM, $92.74 ,7/7/2024
40,71,60,9:00 AM,10:00 AM, $73.74 ,7/25/2024
41,32,19,4:30 PM,5:30 PM, $25.83 ,7/16/2024
42,100,28,1:45 PM,2:45 PM, $63.77 ,7/15/2024
43,87,32,12:45 PM,1:45 PM, $23.49 ,7/22/2024
44,46,78,2:30 PM,3:30 PM, $35.01 ,7/29/2024
45,79,2,12:15 PM,1:15 PM, $62.95 ,7/23/2024
46,33,47,11:15 AM,12:15 PM, $65.56 ,7/6/2024
47,91,18,10:00 AM,11:00 AM, $70.00 ,7/9/2024
48,43,65,5:00 PM,6:00 PM, $20.98 ,7/9/2024
49,52,87,2:45 PM,3:45 PM, $58.18 ,7/18/2024
50,40,72,2:00 PM,3:00 PM, $90.76 ,7/11/2024
51,9,8,4:00 PM,5:00 PM, $59.53 ,7/30/2024
52,12,45,1:15 PM,2:15 PM, $73.76 ,8/4/2024
53,94,74,10:15 AM,11:15 AM, $72.33 ,7/22/2024
54,26,25,12:45 PM,1:45 PM, $97.90 ,7/10/2024
55,65,43,2:30 PM,3:30 PM, $93.90 ,7/10/2024
56,13,17,3:45 PM,4:45 PM, $25.88 ,7/11/2024
57,83,36,1:00 PM,2:00 PM, $61.61 ,7/11/2024
58,8,68,10:30 AM,11:30 AM, $96.06 ,8/4/2024
59,95,88,1:00 PM,2:00 PM, $90.20 ,7/31/2024
60,69,23,11:00 AM,12:00 PM, $93.57 ,8/2/2024
61,84,39,9:15 AM,10:15 AM, $82.69 ,7/30/2024
62,8,10,2:00 PM,3:00 PM, $79.56 ,7/20/2024
63,40,30,11:30 AM,12:30 PM, $53.04 ,7/12/2024
64,66,12,10:15 AM,11:15 AM, $76.41 ,7/25/2024
65,67,6,5:45 PM,6:45 PM, $79.87 ,7/27/2024
66,41,74,9:00 AM,10:00 AM, $56.17 ,7/25/2024
67,66,92,10:15 AM,11:15 AM, $54.79 ,7/10/2024
68,65,12,11:30 AM,12:30 PM, $96.33 ,7/31/2024
69,4,65,1:00 PM,2:00 PM, $25.32 ,8/4/2024
70,18,3,12:30 PM,1:30 PM, $53.68 ,7/11/2024
71,71,22,12:15 PM,1:15 PM, $24.93 ,7/10/2024
72,67,53,4:30 PM,5:30 PM, $33.48 ,7/15/2024
73,96,94,1:00 PM,2:00 PM, $66.28 ,8/4/2024
74,59,50,11:00 AM,12:00 PM, $92.85 ,7/10/2024
75,28,91,9:15 AM,10:15 AM, $79.53 ,7/20/2024
76,63,33,2:30 PM,3:30 PM, $74.50 ,7/16/2024
77,54,32,3:15 PM,4:15 PM, $26.82 ,7/12/2024
78,21,92,1:15 PM,2:15 PM, $44.27 ,7/7/2024
79,55,13,4:15 PM,5:15 PM, $31.41 ,7/9/2024
80,57,92,12:15 PM,1:15 PM, $27.74 ,7/25/2024
81,97,84,11:00 AM,12:00 PM, $66.44 ,7/25/2024
82,66,46,9:45 AM,10:45 AM, $28.57 ,7/8/2024
83,59,100,9:00 AM,10:00 AM, $60.84 ,7/6/2024
84,61,2,10:45 AM,11:45 AM, $61.06 ,7/19/2024
85,71,1,11:45 AM,12:45 PM, $78.06 ,7/16/2024
86,46,3,9:45 AM,10:45 AM, $56.69 ,7/24/2024
87,95,36,12:45 PM,1:45 PM, $64.23 ,8/1/2024
88,93,62,9:00 AM,10:00 AM, $67.26 ,8/4/2024
89,94,98,10:45 AM,11:45 AM, $54.28 ,7/23/2024
90,59,86,11:45 AM,12:45 PM, $61.00 ,7/21/2024
91,3,16,9:15 AM,10:15 AM, $76.86 ,7/5/2024
92,44,56,12:00 PM,1:00 PM, $39.08 ,7/17/2024
93,70,24,5:30 PM,6:30 PM, $46.77 ,7/25/2024
94,53,90,3:45 PM,4:45 PM, $79.05 ,7/19/2024
95,42,78,12:30 PM,1:30 PM, $90.72 ,7/14/2024
96,12,100,5:30 PM,6:30 PM, $87.26 ,7/26/2024
97,36,36,11:30 AM,12:30 PM, $88.61 ,7/22/2024
98,81,43,2:30 PM,3:30 PM, $56.16 ,7/11/2024
99,33,71,2:30 PM,3:30 PM, $72.65 ,7/13/2024
100,26,64,3:45 PM,4:45 PM, $87.69 ,7/19/2024
